id,song,artist,week,valence,track_id,lyrics
906,Повільно,Adam,2023-03-10,0.481,0NYvacFqoJdJggiOynzbur,
907,Відьма,Vsivdoma,2023-03-10,0.667,2oU2e0WRQAoBnCnNvcsu0x,
908,Враже (енджі крейда cover),Damidas,2023-03-10,0.12,0ekzVQWGaD6oHBINV8JY5h,
909,Чорне і біле,ZOZULYA,2023-03-10,0.139,7inT18SoRHT6PEE0F9J8Xs,
910,Бахмут,Spiv Brativ,2023-03-10,0.524,1w8Dgp27eGiKu51jZHFSsZ,
911,MIDDLE OF THE NIGHT,Elley Duhé,2023-03-10,0.0899,58HvfVOeJY7lUuCqF0m3ly,
912,Троянди,100лиця,2023-03-10,0.306,3pube0HS3OSWDVIpQfU0Q0,
913,Марічка,Patsyki Z Franeka,2023-03-10,0.466,2WoksKIDPQ8o90cqDbgE7L,
914,BRONIA,"Jerry Heil, Ochman",2023-03-10,0.35,0uQXfbs3IbUcDqe8jx0Z4C,
915,Гуляли,KOZAK SIROMAHA,2023-03-10,0.675,6xnczQ0seXKiu4sPnYEyui,
916,"Мова вітру - З м/ф ""Мавка. Лісова пісня""","Artem Pivovarov, Khrystyna Soloviy",2023-03-10,0.214,7n1uVnlAdVdp6w7NNQr7oD,
917,Не забудем і не пробачим,SKOFKA,2023-03-10,0.543,6KvQKU21c1ZGEoOajKfim0,
918,По барам,ANNA ASTI,2023-03-10,0.428,4zOLAk87gHl97sbqmntbJG,
919,Ой на горі,Artem Pivovarov,2023-03-10,0.469,1kTtW9kzGGxbQISdhe8pzG,
920,MMM,Minelli,2023-03-10,0.661,2wtjKTnfYimgKi9cPxPBPV,
921,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-03-10,0.324,2vHzOWRKYPLu8umRPIFuOq,
922,Невідомий Герой,PTASHKIN,2023-03-10,0.562,0fDfRB7OwD9HU6eXiqY7fY,
923,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-03-10,0.348,4iwY29UTTw5N9ZGtMsAqCF,
924,Кришталь,NK,2023-03-10,0.609,1ixJTPRUzQfa7a1wwhLs9B,
925,Кружит,MONATIK,2023-03-10,0.694,2MvXw1lGFDRasfQviQptIh,
926,Цей сон - Radio Edit,"Леся Нікітюк, Степан Гіга",2023-03-10,0.627,3T5Fm5kBmenqaVCCwc2Cov,
927,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-03-10,0.314,4PGzoH4hL1vORGOTxHdWjB,
928,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,2023-03-10,0.406,0O3TZYgwaRadNprRONZ7iX,
929,Монро,Slavik Pogosov,2023-03-10,0.118,5sQpS3fyw6VBpPioNlrCn1,
930,Infinity,Jaymes Young,2023-03-10,0.494,1SOClUWhOi8vHZYMz3GluK,
931,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",2023-03-10,0.942,6zSpb8dQRaw0M1dK8PBwQz,
932,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-03-10,0.387,61BaxM1NIcadLu3gtWm2uT,
933,As It Was,Harry Styles,2023-03-10,0.662,4Dvkj6JhhA12EX05fT7y2e,
934,Ванька-Встанька,Маша Кондратенко,2023-03-10,0.62,00ZFbk7oYrtx8nup5y58BO,
935,Незамінних,MAYOROVA,2023-03-10,0.603,6BCdDTHouLa0Ztxu6uTxOd,
936,Враже (енджі крейда cover),Damidas,2023-03-10,0.12,0ekzVQWGaD6oHBINV8JY5h,
937,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-03-10,0.468,05eZlxyjbkHMPCnunUasCS,
938,As It Was,Harry Styles,2023-03-10,0.662,4Dvkj6JhhA12EX05fT7y2e,
939,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-03-10,0.422,48xn7zMEnr2goU2WX0Njn3,
940,Легковажна,SKAI,2023-03-10,0.563,4v46N2yKTs6bAupAw9DTcm,
